wafer_id,die_x,die_y,center_x_mm,center_y_mm,dist_from_center,Vth_V,Idsat_uA,Rs_ohm_sq
1,-13,-4,-130,-40,136.01,0.4597,764.14,153.1
1,-13,-3,-130,-30,133.42,0.4674,798.25,163.19
1,-13,-2,-130,-20,131.53,0.4609,768.52,156.27
1,-13,-1,-130,-10,130.38,0.4522,791.7,152.33
1,-13,0,-130,0,130.0,0.4627,799.84,153.45
1,-13,1,-130,10,130.38,0.4686,796.33,148.25
1,-13,2,-130,20,131.53,0.4544,759.09,160.01
1,-13,3,-130,30,133.42,0.4616,808.03,149.39
1,-13,4,-130,40,136.01,0.459,791.62,155.23
1,-12,-6,-120,-60,134.16,0.467,762.02,158.53
1,-12,-5,-120,-50,130.0,0.4672,789.5,151.73
1,-12,-4,-120,-40,126.49,0.4622,781.23,148.35
1,-12,-3,-120,-30,123.69,0.4581,784.87,156.12
1,-12,-2,-120,-20,121.66,0.4399,791.89,149.21
1,-12,-1,-120,-10,120.42,0.4599,794.66,152.26
1,-12,0,-120,0,120.0,0.4636,770.58,155.8
1,-12,1,-120,10,120.42,0.4516,765.7,151.71
1,-12,2,-120,20,121.66,0.441,792.18,151.9
1,-12,3,-120,30,123.69,0.4684,796.96,148.75
1,-12,4,-120,40,126.49,0.4529,793.41,155.84
1,-12,5,-120,50,130.0,0.4708,801.69,153.52
1,-12,6,-120,60,134.16,0.4657,800.31,153.49
1,-11,-8,-110,-80,136.01,0.4666,774.71,153.04
1,-11,-7,-110,-70,130.38,0.4616,772.92,153.45
1,-11,-6,-110,-60,125.3,0.4509,783.45,154.48
1,-11,-5,-110,-50,120.83,0.4527,788.96,152.99
1,-11,-4,-110,-40,117.05,0.4597,788.81,155.39
1,-11,-3,-110,-30,114.02,0.4383,836.38,149.2
1,-11,-2,-110,-20,111.8,0.4577,779.27,153.52
1,-11,-1,-110,-10,110.45,0.4562,784.2,154.68
1,-11,0,-110,0,110.0,0.4526,802.37,148.66
1,-11,1,-110,10,110.45,0.4538,824.01,154.35
1,-11,2,-110,20,111.8,0.4569,786.62,151.79
1,-11,3,-110,30,114.02,0.4567,799.05,148.58
1,-11,4,-110,40,117.05,0.4615,774.47,157.03
1,-11,5,-110,50,120.83,0.4513,793.27,155.59
1,-11,6,-110,60,125.3,0.4571,791.41,157.44
1,-11,7,-110,70,130.38,0.4657,788.57,148.79
1,-11,8,-110,80,136.01,0.4561,795.32,156.4
1,-10,-9,-100,-90,134.54,0.4687,790.12,158.33
1,-10,-8,-100,-80,128.06,0.4581,786.47,150.43
1,-10,-7,-100,-70,122.07,0.4477,763.48,150.07
1,-10,-6,-100,-60,116.62,0.4684,767.74,151.18
1,-10,-5,-100,-50,111.8,0.4441,784.34,152.1
1,-10,-4,-100,-40,107.7,0.4476,811.48,155.81
1,-10,-3,-100,-30,104.4,0.4344,786.18,151.12
1,-10,-2,-100,-20,101.98,0.4608,790.48,150.7
1,-10,-1,-100,-10,100.5,0.4422,774.79,155.0
1,-10,0,-100,0,100.0,0.4368,832.86,152.8
1,-10,1,-100,10,100.5,0.4569,806.41,149.9
1,-10,2,-100,20,101.98,0.4549,794.46,152.42
1,-10,3,-100,30,104.4,0.4521,782.17,148.33
1,-10,4,-100,40,107.7,0.4454,809.7,149.36
1,-10,5,-100,50,111.8,0.4391,799.3,156.13
1,-10,6,-100,60,116.62,0.4622,781.98,147.33
1,-10,7,-100,70,122.07,0.4568,785.75,149.82
1,-10,8,-100,80,128.06,0.4646,812.36,154.18
1,-10,9,-100,90,134.54,0.4642,766.53,158.65
1,-9,-10,-90,-100,134.54,0.4623,771.9,154.65
1,-9,-9,-90,-90,127.28,0.4637,787.22,157.02
1,-9,-8,-90,-80,120.42,0.4604,784.78,153.73
1,-9,-7,-90,-70,114.02,0.4591,772.87,155.26
1,-9,-6,-90,-60,108.17,0.451,790.81,153.5
1,-9,-5,-90,-50,102.96,0.458,786.44,153.24
1,-9,-4,-90,-40,98.49,0.4466,825.68,148.05
1,-9,-3,-90,-30,94.87,0.4524,787.57,157.0
1,-9,-2,-90,-20,92.2,0.4402,807.65,148.01
1,-9,-1,-90,-10,90.55,0.4472,806.78,153.83
1,-9,0,-90,0,90.0,0.463,776.95,150.94
1,-9,1,-90,10,90.55,0.4617,774.69,151.1
1,-9,2,-90,20,92.2,0.4501,806.01,147.9
1,-9,3,-90,30,94.87,0.439,770.6,153.27
1,-9,4,-90,40,98.49,0.4599,802.92,148.93
1,-9,5,-90,50,102.96,0.439,805.4,147.53
1,-9,6,-90,60,108.17,0.4477,786.14,150.66
1,-9,7,-90,70,114.02,0.4491,792.81,149.94
1,-9,8,-90,80,120.42,0.4629,804.51,152.85
1,-9,9,-90,90,127.28,0.4636,816.9,149.89
1,-9,10,-90,100,134.54,0.4531,791.01,160.3
1,-8,-11,-80,-110,136.01,0.4615,805.51,154.98
1,-8,-10,-80,-100,128.06,0.4548,769.8,155.4
1,-8,-9,-80,-90,120.42,0.45,790.26,157.27
1,-8,-8,-80,-80,113.14,0.4524,812.44,148.08
1,-8,-7,-80,-70,106.3,0.4486,774.59,151.31
1,-8,-6,-80,-60,100.0,0.4576,799.06,154.31
1,-8,-5,-80,-50,94.34,0.4444,802.79,148.73
1,-8,-4,-80,-40,89.44,0.4529,807.56,151.87
1,-8,-3,-80,-30,85.44,0.4414,786.65,147.91
1,-8,-2,-80,-20,82.46,0.4481,801.31,152.12
1,-8,-1,-80,-10,80.62,0.4432,775.98,156.47
1,-8,0,-80,0,80.0,0.4409,812.54,150.09
1,-8,1,-80,10,80.62,0.452,799.98,148.85
1,-8,2,-80,20,82.46,0.4537,793.42,153.5
1,-8,3,-80,30,85.44,0.4545,808.99,148.5
1,-8,4,-80,40,89.44,0.4481,782.18,149.06
1,-8,5,-80,50,94.34,0.4421,819.11,150.46
1,-8,6,-80,60,100.0,0.4527,794.56,151.22
1,-8,7,-80,70,106.3,0.4726,791.2,149.14
1,-8,8,-80,80,113.14,0.4591,754.84,151.91
1,-8,9,-80,90,120.42,0.4543,774.16,154.05
1,-8,10,-80,100,128.06,0.4607,757.63,151.57
1,-8,11,-80,110,136.01,0.4405,784.01,155.54
1,-7,-11,-70,-110,130.38,0.4548,791.34,149.99
1,-7,-10,-70,-100,122.07,0.4502,794.4,150.66
1,-7,-9,-70,-90,114.02,0.4546,783.86,150.58
1,-7,-8,-70,-80,106.3,0.4499,785.1,152.0
1,-7,-7,-70,-70,98.99,0.4462,798.47,148.38
1,-7,-6,-70,-60,92.2,0.4379,813.47,151.72
1,-7,-5,-70,-50,86.02,0.4683,784.34,149.41
1,-7,-4,-70,-40,80.62,0.449,814.84,148.48
1,-7,-3,-70,-30,76.16,0.4406,818.12,149.05
1,-7,-2,-70,-20,72.8,0.457,811.43,149.91
1,-7,-1,-70,-10,70.71,0.4486,794.13,149.95
1,-7,0,-70,0,70.0,0.4569,788.05,150.33
1,-7,1,-70,10,70.71,0.4411,785.09,149.91
1,-7,2,-70,20,72.8,0.4343,830.91,146.42
1,-7,3,-70,30,76.16,0.4497,817.52,147.41
1,-7,4,-70,40,80.62,0.4316,793.33,147.38
1,-7,5,-70,50,86.02,0.4318,804.27,150.66
1,-7,6,-70,60,92.2,0.4593,782.98,145.42
1,-7,7,-70,70,98.99,0.4479,796.91,153.33
1,-7,8,-70,80,106.3,0.4642,813.92,151.92
1,-7,9,-70,90,114.02,0.4615,782.7,152.31
1,-7,10,-70,100,122.07,0.4484,789.08,152.99
1,-7,11,-70,110,130.38,0.475,779.8,154.11
1,-6,-12,-60,-120,134.16,0.4647,774.01,152.0
1,-6,-11,-60,-110,125.3,0.4695,771.59,149.15
1,-6,-10,-60,-100,116.62,0.4614,808.4,150.73
1,-6,-9,-60,-90,108.17,0.4499,799.18,149.13
1,-6,-8,-60,-80,100.0,0.4451,811.13,152.45
1,-6,-7,-60,-70,92.2,0.4606,781.0,148.71
1,-6,-6,-60,-60,84.85,0.4522,786.12,151.94
1,-6,-5,-60,-50,78.1,0.4598,791.25,150.12
1,-6,-4,-60,-40,72.11,0.4616,826.99,152.24
1,-6,-3,-60,-30,67.08,0.4547,787.19,151.08
1,-6,-2,-60,-20,63.25,0.4545,796.84,148.22
1,-6,-1,-60,-10,60.83,0.4397,773.93,144.16
1,-6,0,-60,0,60.0,0.4546,802.22,148.55
1,-6,1,-60,10,60.83,0.4473,803.16,149.51
1,-6,2,-60,20,63.25,0.4393,813.7,150.91
1,-6,3,-60,30,67.08,0.4521,812.56,147.56
1,-6,4,-60,40,72.11,0.4597,797.9,152.67
1,-6,5,-60,50,78.1,0.4559,784.42,151.51
