lot,phase,wafer_id,product,tool,chamber,process_step,pattern,root_cause,action,die_x,die_y,die_dx,die_dy,status,fail_reason
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,2,-4.0,-14.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,2,-3.0,-14.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,2,-2.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,2,-1.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,2,0.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,2,1.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,2,2.0,-14.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,2,3.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,2,4.0,-14.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,3,-7.0,-13.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,3,-6.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,3,-5.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,3,-4.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,3,-3.0,-13.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,3,-2.0,-13.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,3,-1.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,3,0.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,3,1.0,-13.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,3,2.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,3,3.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,3,4.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,21,3,5.0,-13.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,22,3,6.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,23,3,7.0,-13.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,8,4,-8.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,4,-7.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,4,-6.0,-12.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,4,-5.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,4,-4.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,4,-3.0,-12.0,FAIL,edge_ring
