wafer_id,CD_nm,CD_target,CD_UCL,CD_LCL,CD_OOC,Overlay_nm,Overlay_target,Overlay_UCL,Overlay_LCL,Overlay_OOC
1,28.016,28.0,29.5,26.5,0,-0.256,0.0,3.0,-3.0,0
2,27.574,28.0,29.5,26.5,0,1.11,0.0,3.0,-3.0,0
3,27.337,28.0,29.5,26.5,0,-0.704,0.0,3.0,-3.0,0
4,27.647,28.0,29.5,26.5,0,-0.936,0.0,3.0,-3.0,0
5,28.745,28.0,29.5,26.5,0,1.499,0.0,3.0,-3.0,0
6,27.751,28.0,29.5,26.5,0,0.321,0.0,3.0,-3.0,0
7,28.012,28.0,29.5,26.5,0,0.465,0.0,3.0,-3.0,0
8,28.541,28.0,29.5,26.5,0,-0.658,0.0,3.0,-3.0,0
9,27.835,28.0,29.5,26.5,0,2.174,0.0,3.0,-3.0,0
10,27.59,28.0,29.5,26.5,0,-0.207,0.0,3.0,-3.0,0
11,27.587,28.0,29.5,26.5,0,1.705,0.0,3.0,-3.0,0
12,27.876,28.0,29.5,26.5,0,1.138,0.0,3.0,-3.0,0
13,27.632,28.0,29.5,26.5,0,0.116,0.0,3.0,-3.0,0
14,28.459,28.0,29.5,26.5,0,-1.489,0.0,3.0,-3.0,0
15,27.778,28.0,29.5,26.5,0,-0.672,0.0,3.0,-3.0,0
16,28.235,28.0,29.5,26.5,0,1.22,0.0,3.0,-3.0,0
17,28.288,28.0,29.5,26.5,0,-1.911,0.0,3.0,-3.0,0
18,27.738,28.0,29.5,26.5,0,1.747,0.0,3.0,-3.0,0
19,28.679,28.0,29.5,26.5,0,0.417,0.0,3.0,-3.0,0
20,28.853,28.0,29.5,26.5,0,1.28,0.0,3.0,-3.0,0
21,28.192,28.0,29.5,26.5,0,2.316,0.0,3.0,-3.0,0
22,27.787,28.0,29.5,26.5,0,1.464,0.0,3.0,-3.0,0
23,28.906,28.0,29.5,26.5,0,1.141,0.0,3.0,-3.0,0
24,28.233,28.0,29.5,26.5,0,1.076,0.0,3.0,-3.0,0
25,28.67,28.0,29.5,26.5,0,1.234,0.0,3.0,-3.0,0
